iter	Passed	Remaining
0	1	161
1	3	155
2	4	147
3	5	134
4	6	130
5	8	128
6	9	126
7	10	123
8	12	122
9	13	120
10	14	120
11	16	121
12	17	120
13	19	119
14	20	118
15	22	117
16	23	116
17	25	114
18	26	113
19	27	111
20	29	110
21	30	109
22	32	107
23	33	106
24	34	104
25	36	103
26	37	101
27	38	99
28	40	98
29	41	97
30	42	95
31	45	95
32	46	94
33	47	92
34	49	91
35	50	90
36	52	88
37	53	87
38	54	85
39	56	84
40	57	82
41	58	80
42	59	79
43	60	77
44	62	76
45	63	74
46	65	73
47	66	71
48	67	70
49	68	68
50	69	67
51	71	65
52	72	64
53	73	62
54	74	61
55	75	59
56	77	58
57	78	56
58	79	55
59	80	53
60	81	52
61	83	51
62	84	49
63	85	48
64	86	46
65	88	45
66	89	43
67	90	42
68	91	41
69	92	39
70	94	38
71	95	37
72	97	35
73	98	34
74	99	33
75	101	32
76	102	30
77	103	29
78	105	27
79	106	26
80	107	25
81	109	23
82	110	22
83	111	21
84	113	20
85	114	18
86	116	17
87	117	16
88	119	14
89	121	13
90	122	12
91	124	10
92	125	9
93	127	8
94	129	6
95	130	5
96	131	4
97	133	2
98	134	1
99	135	0
